Source;Scrittori;Message Size;Time;Provenance
client0;1;4;16066;LAN
client0;1;4;10198;LAN
client0;1;4;362151;LAN
client0;1;4;231986;LAN
client0;1;4;217432;LAN
client0;1;4;9135;LAN
client0;1;4;8994;LAN
client0;1;4;8420;LAN
client0;1;4;187187;LAN
client0;1;4;180132;LAN
client0;1;4;170433;LAN
client0;1;4;160300;LAN
client0;1;4;23307;LAN
client0;1;4;10732;LAN
client0;1;4;133603;LAN
client0;1;4;136022;LAN
client0;1;4;119549;LAN
client0;1;4;111406;LAN
client0;1;4;18513;LAN
client0;1;4;9986;LAN
client0;1;4;93299;LAN
client0;1;4;79454;LAN
client0;1;4;68263;LAN
client0;1;4;55065;LAN
client0;1;4;14628;LAN
client0;1;4;8452;LAN
client0;1;4;34416;LAN
client0;1;4;26981;LAN
client0;1;4;390485;LAN
client0;1;4;254359;LAN
client0;1;4;27535;LAN
client0;1;4;8012;LAN
client0;1;4;350388;LAN
client0;1;4;221507;LAN
client0;1;4;210134;LAN
client0;1;4;203931;LAN
client0;1;4;19492;LAN
client0;1;4;19756;LAN
client0;1;4;178103;LAN
client0;1;4;173039;LAN
client0;1;4;160082;LAN
client0;1;4;150576;LAN
client0;1;4;21993;LAN
client0;1;4;21600;LAN
client0;1;4;128741;LAN
client0;1;4;120121;LAN
client0;1;4;112586;LAN
client0;1;4;96877;LAN
client0;1;4;33955;LAN
client0;1;4;8599;LAN
client0;1;16;12790;LAN
client0;1;16;54621;LAN
client0;1;16;37852;LAN
client0;1;16;9129;LAN
client0;1;16;25195;LAN
client0;1;16;18046;LAN
client0;1;16;14721;LAN
client0;1;16;252327;LAN
client0;1;16;361175;LAN
client0;1;16;5433;LAN
client0;1;16;347377;LAN
client0;1;16;214912;LAN
client0;1;16;18007;LAN
client0;1;16;199894;LAN
client0;1;16;188691;LAN
client0;1;16;19159;LAN
client0;1;16;170602;LAN
client0;1;16;164474;LAN
client0;1;16;18748;LAN
client0;1;16;147071;LAN
client0;1;16;138256;LAN
client0;1;16;9139;LAN
client0;1;16;123030;LAN
client0;1;16;113654;LAN
client0;1;16;18706;LAN
client0;1;16;96421;LAN
client0;1;16;87202;LAN
client0;1;16;17172;LAN
client0;1;16;1022357;LAN
client0;1;16;521372;LAN
client0;1;16;21179;LAN
client0;1;16;44344;LAN
client0;1;16;34610;LAN
client0;1;16;23096;LAN
client0;1;16;386666;LAN
client0;1;16;255898;LAN
client0;1;16;19380;LAN
client0;1;16;360451;LAN
client0;1;16;352351;LAN
client0;1;16;12726;LAN
client0;1;16;337894;LAN
client0;1;16;205201;LAN
client0;1;16;19346;LAN
client0;1;16;186911;LAN
client0;1;16;176742;LAN
client0;1;16;9604;LAN
client0;1;16;162724;LAN
client0;1;16;153991;LAN
client0;1;16;44881;LAN
client0;1;16;140240;LAN
client0;1;64;12656;LAN
client0;1;64;204669;LAN
client0;1;64;198191;LAN
client0;1;64;11616;LAN
client0;1;64;179565;LAN
client0;1;64;173139;LAN
client0;1;64;12127;LAN
client0;1;64;154000;LAN
client0;1;64;144354;LAN
client0;1;64;17167;LAN
client0;1;64;127471;LAN
client0;1;64;127983;LAN
client0;1;64;15378;LAN
client0;1;64;105984;LAN
client0;1;64;94583;LAN
client0;1;64;10123;LAN
client0;1;64;8759;LAN
client0;1;64;71317;LAN
client0;1;64;18679;LAN
client0;1;64;53855;LAN
client0;1;64;44306;LAN
client0;1;64;16065;LAN
client0;1;64;26898;LAN
client0;1;64;263828;LAN
client0;1;64;16787;LAN
client0;1;64;250343;LAN
client0;1;64;238164;LAN
client0;1;64;9036;LAN
client0;1;64;223858;LAN
client0;1;64;216442;LAN
client0;1;64;15016;LAN
client0;1;64;197102;LAN
client0;1;64;187033;LAN
client0;1;64;8926;LAN
client0;1;64;173326;LAN
client0;1;64;162418;LAN
client0;1;64;10016;LAN
client0;1;64;144940;LAN
client0;1;64;136042;LAN
client0;1;64;14821;LAN
client0;1;64;119403;LAN
client0;1;64;115881;LAN
client0;1;64;14818;LAN
client0;1;64;94243;LAN
client0;1;64;86786;LAN
client0;1;64;8873;LAN
client0;1;64;69302;LAN
client0;1;64;61052;LAN
client0;1;64;18123;LAN
client0;1;64;45242;LAN
client0;1;256;13982;LAN
client0;1;256;77453;LAN
client0;1;256;67229;LAN
client0;1;256;60277;LAN
client0;1;256;54574;LAN
client0;1;256;42248;LAN
client0;1;256;32294;LAN
client0;1;256;29786;LAN
client0;1;256;381396;LAN
client0;1;256;56852;LAN
client0;1;256;368061;LAN
client0;1;256;205945;LAN
client0;1;256;480909;LAN
client0;1;256;12543;LAN
client0;1;256;213420;LAN
client0;1;256;59919;LAN
client0;1;256;196914;LAN
client0;1;256;188514;LAN
client0;1;256;179799;LAN
client0;1;256;172495;LAN
client0;1;256;159962;LAN
client0;1;256;58279;LAN
client0;1;256;146667;LAN
client0;1;256;137861;LAN
client0;1;256;126919;LAN
client0;1;256;121247;LAN
client0;1;256;107905;LAN
client0;1;256;61915;LAN
client0;1;256;91345;LAN
client0;1;256;86254;LAN
client0;1;256;74013;LAN
client0;1;256;71350;LAN
client0;1;256;60332;LAN
client0;1;256;49840;LAN
client0;1;256;45094;LAN
client0;1;256;36415;LAN
client0;1;256;23358;LAN
client0;1;256;263811;LAN
client0;1;256;373891;LAN
client0;1;256;57916;LAN
client0;1;256;358483;LAN
client0;1;256;211746;LAN
client0;1;256;11724;LAN
client0;1;256;212683;LAN
client0;1;256;201362;LAN
client0;1;256;65383;LAN
client0;1;256;183493;LAN
client0;1;256;179323;LAN
client0;1;256;11272;LAN
client0;1;256;162675;LAN
client0;1;1024;15994;LAN
client0;1;1024;179439;LAN
client0;1;1024;170553;LAN
client0;1;1024;159391;LAN
client0;1;1024;159091;LAN
client0;1;1024;143526;LAN
client0;1;1024;13592;LAN
client0;1;1024;126653;LAN
client0;1;1024;117604;LAN
client0;1;1024;109096;LAN
client0;1;1024;100967;LAN
client0;1;1024;92640;LAN
client0;1;1024;17149;LAN
client0;1;1024;77001;LAN
client0;1;1024;72192;LAN
client0;1;1024;61493;LAN
client0;1;1024;49837;LAN
client0;1;1024;43570;LAN
client0;1;1024;28726;LAN
client0;1;1024;402311;LAN
client0;1;1024;12425;LAN
client0;1;1024;181153;LAN
client0;1;1024;367104;LAN
client0;1;1024;235138;LAN
client0;1;1024;18375;LAN
client0;1;1024;227391;LAN
client0;1;1024;210573;LAN
client0;1;1024;180108;LAN
client0;1;1024;196816;LAN
client0;1;1024;186451;LAN
client0;1;1024;11755;LAN
client0;1;1024;167931;LAN
client0;1;1024;160577;LAN
client0;1;1024;151826;LAN
client0;1;1024;143127;LAN
client0;1;1024;133419;LAN
client0;1;1024;13454;LAN
client0;1;1024;118412;LAN
client0;1;1024;111414;LAN
client0;1;1024;98764;LAN
client0;1;1024;91764;LAN
client0;1;1024;87624;LAN
client0;1;1024;23158;LAN
client0;1;1024;65851;LAN
client0;1;1024;60005;LAN
client0;1;1024;51888;LAN
client0;1;1024;44076;LAN
client0;1;1024;524589;LAN
client0;1;1024;27007;LAN
client0;1;1024;386874;LAN
client0;1;4096;18739;LAN
client0;1;4096;247141;LAN
client0;1;4096;240396;LAN
client0;1;4096;352102;LAN
client0;1;4096;341291;LAN
client0;1;4096;215551;LAN
client0;1;4096;208608;LAN
client0;1;4096;195587;LAN
client0;1;4096;194490;LAN
client0;1;4096;178503;LAN
client0;1;4096;174615;LAN
client0;1;4096;164413;LAN
client0;1;4096;158517;LAN
client0;1;4096;149963;LAN
client0;1;4096;138629;LAN
client0;1;4096;129792;LAN
client0;1;4096;17710;LAN
client0;1;4096;109276;LAN
client0;1;4096;108585;LAN
client0;1;4096;96059;LAN
client0;1;4096;86367;LAN
client0;1;4096;76188;LAN
client0;1;4096;68789;LAN
client0;1;4096;62373;LAN
client0;1;4096;51696;LAN
client0;1;4096;16068;LAN
client0;1;4096;33938;LAN
client0;1;4096;391262;LAN
client0;1;4096;381107;LAN
client0;1;4096;21532;LAN
client0;1;4096;366571;LAN
client0;1;4096;105702;LAN
client0;1;4096;350042;LAN
client0;1;4096;221152;LAN
client0;1;4096;215985;LAN
client0;1;4096;206052;LAN
client0;1;4096;200160;LAN
client0;1;4096;189659;LAN
client0;1;4096;181377;LAN
client0;1;4096;172488;LAN
client0;1;4096;165058;LAN
client0;1;4096;155203;LAN
client0;1;4096;143936;LAN
client0;1;4096;135420;LAN
client0;1;4096;128917;LAN
client0;1;4096;122364;LAN
client0;1;4096;111706;LAN
client0;1;4096;102338;LAN
client0;1;4096;343833;LAN
client0;1;4096;85700;LAN
client0;1;16384;50001;LAN
client0;1;16384;45017;LAN
client0;1;16384;286714;LAN
client0;1;16384;39581;LAN
client0;1;16384;372293;LAN
client0;1;16384;48618;LAN
client0;1;16384;38526;LAN
client0;1;16384;345004;LAN
client0;1;16384;339326;LAN
client0;1;16384;36303;LAN
client0;1;16384;215265;LAN
client0;1;16384;211011;LAN
client0;1;16384;197583;LAN
client0;1;16384;195984;LAN
client0;1;16384;187020;LAN
client0;1;16384;48991;LAN
client0;1;16384;166448;LAN
client0;1;16384;153846;LAN
client0;1;16384;151885;LAN
client0;1;16384;146612;LAN
client0;1;16384;133393;LAN
client0;1;16384;49080;LAN
client0;1;16384;115642;LAN
client0;1;16384;105263;LAN
client0;1;16384;101239;LAN
client0;1;16384;87801;LAN
client0;1;16384;80842;LAN
client0;1;16384;41868;LAN
client0;1;16384;62261;LAN
client0;1;16384;51129;LAN
client0;1;16384;44092;LAN
client0;1;16384;38539;LAN
client0;1;16384;380318;LAN
client0;1;16384;36256;LAN
client0;1;16384;416413;LAN
client0;1;16384;41682;LAN
client0;1;16384;32675;LAN
client0;1;16384;234464;LAN
client0;1;16384;228674;LAN
client0;1;16384;56340;LAN
client0;1;16384;208998;LAN
client0;1;16384;198089;LAN
client0;1;16384;194079;LAN
client0;1;16384;180638;LAN
client0;1;16384;535114;LAN
client0;1;16384;46744;LAN
client0;1;16384;157884;LAN
client0;1;16384;149783;LAN
client0;1;16384;141536;LAN
client0;1;16384;129022;LAN
client0;1;65356;235893;LAN
client0;1;65356;402561;LAN
client0;1;65356;220975;LAN
client0;1;65356;268431;LAN
client0;1;65356;144518;LAN
client0;1;65356;268050;LAN
client0;1;65356;360032;LAN
client0;1;65356;256965;LAN
client0;1;65356;254215;LAN
client0;1;65356;217264;LAN
client0;1;65356;240102;LAN
client0;1;65356;307593;LAN
client0;1;65356;207919;LAN
client0;1;65356;188514;LAN
client0;1;65356;178328;LAN
client0;1;65356;165140;LAN
client0;1;65356;268075;LAN
client0;1;65356;268766;LAN
client0;1;65356;250101;LAN
client0;1;65356;138722;LAN
client0;1;65356;202548;LAN
client0;1;65356;147534;LAN
client0;1;65356;195677;LAN
client0;1;65356;375369;LAN
client0;1;65356;160227;LAN
client0;1;65356;338289;LAN
client0;1;65356;318460;LAN
client0;1;65356;326863;LAN
client0;1;65356;204983;LAN
client0;1;65356;305083;LAN
client0;1;65356;394967;LAN
client0;1;65356;266012;LAN
client0;1;65356;271216;LAN
client0;1;65356;343910;LAN
client0;1;65356;259186;LAN
client0;1;65356;245912;LAN
client0;1;65356;237778;LAN
client0;1;65356;236527;LAN
client0;1;65356;222258;LAN
client0;1;65356;217816;LAN
client0;1;65356;149488;LAN
client0;1;65356;187561;LAN
client0;1;65356;199198;LAN
client0;1;65356;279381;LAN
client0;1;65356;163415;LAN
client0;1;65356;516644;LAN
client0;1;65356;238692;LAN
client0;1;65356;255822;LAN
client0;1;65356;237687;LAN
client0;1;65356;220813;LAN
client1;2;4;11171;LAN
client0;2;4;12603;LAN
client1;2;4;104813;LAN
client0;2;4;106607;LAN
client1;2;4;93912;LAN
client0;2;4;94557;LAN
client1;2;4;12102;LAN
client0;2;4;12309;LAN
client0;2;4;75685;LAN
client1;2;4;75700;LAN
client0;2;4;69069;LAN
client1;2;4;67610;LAN
client0;2;4;15315;LAN
client1;2;4;16427;LAN
client0;2;4;54158;LAN
client1;2;4;51624;LAN
client1;2;4;42740;LAN
client0;2;4;40764;LAN
client1;2;4;38296;LAN
client0;2;4;38728;LAN
client0;2;4;126908;LAN
client1;2;4;128309;LAN
client1;2;4;263146;LAN
client0;2;4;265522;LAN
client0;2;4;16838;LAN
client1;2;4;16200;LAN
client0;2;4;248581;LAN
client1;2;4;247475;LAN
client1;2;4;357384;LAN
client0;2;4;360958;LAN
client1;2;4;350140;LAN
client0;2;4;351359;LAN
client0;2;4;127599;LAN
client1;2;4;126150;LAN
client0;2;4;214502;LAN
client1;2;4;212488;LAN
client1;2;4;18560;LAN
client0;2;4;18590;LAN
client0;2;4;194766;LAN
client1;2;4;196026;LAN
client0;2;4;185805;LAN
